datetime,sigai,bucket,index
2024-01-30 16:41:00,0.00621189,16:10 - 00:10,1216
2024-01-30 16:42:00,0.00618606,16:10 - 00:10,1216
2024-01-30 16:43:00,0.00622056,16:10 - 00:10,1216
2024-01-30 16:44:00,0.00623673,16:10 - 00:10,1216
2024-01-30 16:45:00,0.00626823,16:10 - 00:10,1216
2024-01-30 16:46:00,0.00631406,16:10 - 00:10,1216
2024-01-30 16:47:00,0.00634423,16:10 - 00:10,1216
2024-01-30 16:48:00,0.00634323,16:10 - 00:10,1216
2024-01-30 16:49:00,0.00632273,16:10 - 00:10,1216
2024-01-30 16:50:00,0.00638823,16:10 - 00:10,1216
2024-01-30 16:51:00,0.00651623,16:10 - 00:10,1216
2024-01-30 16:52:00,0.00666723,16:10 - 00:10,1216
2024-01-30 16:53:00,0.00669989,16:10 - 00:10,1216
2024-01-30 16:54:00,0.00675889,16:10 - 00:10,1216
2024-01-30 16:55:00,0.00677923,16:10 - 00:10,1216
2024-01-30 16:56:00,0.00678639,16:10 - 00:10,1216
2024-01-30 16:57:00,0.00679606,16:10 - 00:10,1216
2024-01-30 16:58:00,0.00683556,16:10 - 00:10,1216
2024-01-30 16:59:00,0.00685539,16:10 - 00:10,1216
2024-01-30 17:00:00,0.00688823,16:10 - 00:10,1216
2024-01-30 17:01:00,0.00689839,16:10 - 00:10,1216
2024-01-30 17:02:00,0.00689373,16:10 - 00:10,1216
2024-01-30 17:03:00,0.00693923,16:10 - 00:10,1216
2024-01-30 17:04:00,0.00693389,16:10 - 00:10,1216
2024-01-30 17:05:00,0.00695189,16:10 - 00:10,1216
2024-01-30 17:06:00,0.00697339,16:10 - 00:10,1216
2024-01-30 17:07:00,0.00700723,16:10 - 00:10,1216
2024-01-30 17:08:00,0.00700689,16:10 - 00:10,1216
2024-01-30 17:09:00,0.00704639,16:10 - 00:10,1216
2024-01-30 17:10:00,0.00706089,16:10 - 00:10,1216
2024-01-30 17:11:00,0.00700056,16:10 - 00:10,1216
2024-01-30 17:12:00,0.00698239,16:10 - 00:10,1216
2024-01-30 17:13:00,0.00691673,16:10 - 00:10,1216
2024-01-30 17:14:00,0.00687439,16:10 - 00:10,1216
2024-01-30 17:15:00,0.00685439,16:10 - 00:10,1216
2024-01-30 17:16:00,0.00684773,16:10 - 00:10,1216
2024-01-30 17:17:00,0.00683973,16:10 - 00:10,1216
2024-01-30 17:18:00,0.00681389,16:10 - 00:10,1216
2024-01-30 17:19:00,0.00679339,16:10 - 00:10,1216
2024-01-30 17:20:00,0.00677206,16:10 - 00:10,1216
2024-01-30 17:21:00,0.00677023,16:10 - 00:10,1216
2024-01-30 17:22:00,0.00671256,16:10 - 00:10,1216
2024-01-30 17:23:00,0.00670456,16:10 - 00:10,1216
2024-01-30 17:24:00,0.00668156,16:10 - 00:10,1216
2024-01-30 17:25:00,0.00669723,16:10 - 00:10,1216
2024-01-30 17:26:00,0.00670406,16:10 - 00:10,1216
2024-01-30 17:27:00,0.00671706,16:10 - 00:10,1216
2024-01-30 17:28:00,0.00671173,16:10 - 00:10,1216
2024-01-30 17:29:00,0.00669206,16:10 - 00:10,1216
2024-01-30 17:30:00,0.00669023,16:10 - 00:10,1216
2024-01-30 17:31:00,0.00667989,16:10 - 00:10,1216
2024-01-30 17:32:00,0.00667556,16:10 - 00:10,1216
2024-01-30 17:33:00,0.00664139,16:10 - 00:10,1216
2024-01-30 17:34:00,0.00662256,16:10 - 00:10,1216
2024-01-30 17:35:00,0.00663989,16:10 - 00:10,1216
2024-01-30 17:36:00,0.00663239,16:10 - 00:10,1216
2024-01-30 17:37:00,0.00662639,16:10 - 00:10,1216
2024-01-30 17:38:00,0.00660139,16:10 - 00:10,1216
2024-01-30 17:39:00,0.00659489,16:10 - 00:10,1216
2024-01-30 17:40:00,0.00656856,16:10 - 00:10,1216
2024-01-30 17:41:00,0.00656139,16:10 - 00:10,1216
2024-01-30 17:42:00,0.00652706,16:10 - 00:10,1216
2024-01-30 17:43:00,0.00651939,16:10 - 00:10,1216
2024-01-30 17:44:00,0.00649006,16:10 - 00:10,1216
2024-01-30 17:45:00,0.00649723,16:10 - 00:10,1216
2024-01-30 17:46:00,0.00649556,16:10 - 00:10,1216
2024-01-30 17:47:00,0.00650639,16:10 - 00:10,1216
2024-01-30 17:48:00,0.00650156,16:10 - 00:10,1216
2024-01-30 17:49:00,0.00648773,16:10 - 00:10,1216
2024-01-30 17:50:00,0.00647956,16:10 - 00:10,1216
2024-01-30 17:51:00,0.00648923,16:10 - 00:10,1216
2024-01-30 17:52:00,0.00649773,16:10 - 00:10,1216
2024-01-30 17:53:00,0.00648773,16:10 - 00:10,1216
2024-01-30 17:54:00,0.00650673,16:10 - 00:10,1216
2024-01-30 17:55:00,0.00648089,16:10 - 00:10,1216
2024-01-30 17:56:00,0.00647306,16:10 - 00:10,1216
2024-01-30 17:57:00,0.00646123,16:10 - 00:10,1216
2024-01-30 17:58:00,0.00644956,16:10 - 00:10,1216
2024-01-30 17:59:00,0.00643656,16:10 - 00:10,1216
2024-01-30 18:00:00,0.00642806,16:10 - 00:10,1216
2024-01-30 18:01:00,0.00642073,16:10 - 00:10,1216
2024-01-30 18:02:00,0.00641739,16:10 - 00:10,1216
2024-01-30 18:03:00,0.00644456,16:10 - 00:10,1216
2024-01-30 18:04:00,0.00644839,16:10 - 00:10,1216
2024-01-30 18:05:00,0.00644673,16:10 - 00:10,1216
2024-01-30 18:06:00,0.00642773,16:10 - 00:10,1216
2024-01-30 18:07:00,0.00642089,16:10 - 00:10,1216
2024-01-30 18:08:00,0.00642556,16:10 - 00:10,1216
2024-01-30 18:09:00,0.00639439,16:10 - 00:10,1216
2024-01-30 18:10:00,0.00637123,16:10 - 00:10,1216
2024-01-30 18:11:00,0.00637023,16:10 - 00:10,1216
2024-01-30 18:12:00,0.00636989,16:10 - 00:10,1216
2024-01-30 18:13:00,0.00634156,16:10 - 00:10,1216
2024-01-30 18:14:00,0.00633456,16:10 - 00:10,1216
2024-01-30 18:15:00,0.00630673,16:10 - 00:10,1216
2024-01-30 18:16:00,0.00625873,16:10 - 00:10,1216
2024-01-30 18:17:00,0.00623406,16:10 - 00:10,1216
2024-01-30 18:18:00,0.00620773,16:10 - 00:10,1216
2024-01-30 18:19:00,0.00617839,16:10 - 00:10,1216
2024-01-30 18:20:00,0.00616889,16:10 - 00:10,1216
2024-01-30 18:21:00,0.00614556,16:10 - 00:10,1216
2024-01-30 18:22:00,0.00616056,16:10 - 00:10,1216
2024-01-30 18:23:00,0.00614239,16:10 - 00:10,1216
2024-01-30 18:24:00,0.00613439,16:10 - 00:10,1216
2024-01-30 18:25:00,0.00611489,16:10 - 00:10,1216
2024-01-30 18:26:00,0.00611489,16:10 - 00:10,1216
2024-01-30 18:27:00,0.00609256,16:10 - 00:10,1216
2024-01-30 18:28:00,0.00608473,16:10 - 00:10,1216
2024-01-30 18:29:00,0.00608973,16:10 - 00:10,1216
2024-01-30 18:30:00,0.00609006,16:10 - 00:10,1216
2024-01-30 18:31:00,0.00610206,16:10 - 00:10,1216
2024-01-30 18:32:00,0.00610689,16:10 - 00:10,1216
2024-01-30 18:33:00,0.00610523,16:10 - 00:10,1216
2024-01-30 18:34:00,0.00610189,16:10 - 00:10,1216
2024-01-30 18:35:00,0.00609089,16:10 - 00:10,1216
2024-01-30 18:36:00,0.00607523,16:10 - 00:10,1216
2024-01-30 18:37:00,0.00608756,16:10 - 00:10,1216
2024-01-30 18:38:00,0.00605373,16:10 - 00:10,1216
2024-01-30 18:39:00,0.00604839,16:10 - 00:10,1216
2024-01-30 18:40:00,0.00606139,16:10 - 00:10,1216
2024-01-30 18:41:00,0.00604023,16:10 - 00:10,1216
2024-01-30 18:42:00,0.00604923,16:10 - 00:10,1216
2024-01-30 18:43:00,0.00604189,16:10 - 00:10,1216
2024-01-30 18:44:00,0.00603239,16:10 - 00:10,1216
2024-01-30 18:45:00,0.00601056,16:10 - 00:10,1216
2024-01-30 18:46:00,0.00599956,16:10 - 00:10,1216
2024-01-30 18:47:00,0.00599473,16:10 - 00:10,1216
2024-01-30 18:48:00,0.00596573,16:10 - 00:10,1216
2024-01-30 18:49:00,0.00596539,16:10 - 00:10,1216
2024-01-30 18:50:00,0.00596406,16:10 - 00:10,1216
2024-01-30 18:51:00,0.00594673,16:10 - 00:10,1216
2024-01-30 18:52:00,0.00594556,16:10 - 00:10,1216
2024-01-30 18:53:00,0.00592873,16:10 - 00:10,1216
2024-01-30 18:54:00,0.00590256,16:10 - 00:10,1216
2024-01-30 18:55:00,0.00585989,16:10 - 00:10,1216
2024-01-30 18:56:00,0.00585239,16:10 - 00:10,1216
2024-01-30 18:57:00,0.00580573,16:10 - 00:10,1216
2024-01-30 18:58:00,0.00579256,16:10 - 00:10,1216
2024-01-30 18:59:00,0.00575539,16:10 - 00:10,1216
2024-01-30 19:00:00,0.00573539,16:10 - 00:10,1216
2024-01-30 19:01:00,0.00572739,16:10 - 00:10,1216
2024-01-30 19:02:00,0.00571289,16:10 - 00:10,1216
2024-01-30 19:03:00,0.00569406,16:10 - 00:10,1216
2024-01-30 19:04:00,0.00569189,16:10 - 00:10,1216
2024-01-30 19:05:00,0.00567223,16:10 - 00:10,1216
2024-01-30 19:06:00,0.00565373,16:10 - 00:10,1216
2024-01-30 19:07:00,0.00565389,16:10 - 00:10,1216
2024-01-30 19:08:00,0.00562373,16:10 - 00:10,1216
2024-01-30 19:09:00,0.00561823,16:10 - 00:10,1216
2024-01-30 19:10:00,0.00559689,16:10 - 00:10,1216
2024-01-30 19:11:00,0.00558739,16:10 - 00:10,1216
2024-01-30 19:12:00,0.00557523,16:10 - 00:10,1216
2024-01-30 19:13:00,0.00555173,16:10 - 00:10,1216
2024-01-30 19:14:00,0.00553423,16:10 - 00:10,1216
2024-01-30 19:15:00,0.00553389,16:10 - 00:10,1216
2024-01-30 19:16:00,0.00553573,16:10 - 00:10,1216
2024-01-30 19:17:00,0.00553473,16:10 - 00:10,1216
2024-01-30 19:18:00,0.00553456,16:10 - 00:10,1216
2024-01-30 19:19:00,0.00554923,16:10 - 00:10,1216
2024-01-30 19:20:00,0.00554123,16:10 - 00:10,1216
2024-01-30 19:21:00,0.00553239,16:10 - 00:10,1216
2024-01-30 19:22:00,0.00553056,16:10 - 00:10,1216
2024-01-30 19:23:00,0.00552823,16:10 - 00:10,1216
2024-01-30 19:24:00,0.00550706,16:10 - 00:10,1216
2024-01-30 19:25:00,0.00548356,16:10 - 00:10,1216
2024-01-30 19:26:00,0.00547189,16:10 - 00:10,1216
